date,name,types,size,rate,special
08-09-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$134,First Month Free
,,Drive-Up Access,10' x 20',$213,
,,Drive-Up Access,10' x 20',,
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
08-09-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',119,1st Month
,,Outside unit/Drive-up access,10' x 20',127,1st Month
,,Outside unit/Drive-up access,10' x 15',135,1st Month
,,Outside unit/Drive-up access,10' x 30',146,1st Month
date,name,types,size,rate,special
08-09-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',149, 50% Off Next Month!
date,name,types,size,rate,special
08-09-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$134,First Month Free
,,Drive-Up Access,10' x 20',$213,
,,Drive-Up Access,10' x 20',,
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
08-09-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$134,First Month Free
,,Drive-Up Access,10' x 20',$213,
,,Drive-Up Access,10' x 20',,
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
08-09-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',119,1st Month
,,Outside unit/Drive-up access,10' x 20',127,1st Month
,,Outside unit/Drive-up access,10' x 15',135,1st Month
,,Outside unit/Drive-up access,10' x 30',146,1st Month
date,name,types,size,rate,special
08-09-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',149, 50% Off Next Month!
